Date,Close
2020-01-01,101.33
2020-01-02,106.02
2020-01-03,108.72
2020-01-04,111.25
2020-01-05,113.3
2020-01-06,113.09
2020-01-07,112.51
2020-01-08,113.05
2020-01-09,115.81
2020-01-10,117.62
2020-01-11,116.8
2020-01-12,113.92
2020-01-13,114.51
2020-01-14,116.32
2020-01-15,115.65
2020-01-16,113.14
2020-01-17,110.45
2020-01-18,112.87
2020-01-19,111.82
2020-01-20,114.75
2020-01-21,115.44
2020-01-22,115.52
2020-01-23,115.46
2020-01-24,113.92
2020-01-25,115.05
2020-01-26,112.41
2020-01-27,114.44
2020-01-28,114.72
2020-01-29,118.87
2020-01-30,121.6
2020-01-31,121.62
2020-02-01,119.13
2020-02-02,116.32
2020-02-03,114.3
2020-02-04,116.49
2020-02-05,115.03
2020-02-06,115.97
2020-02-07,113.51
2020-02-08,117.05
2020-02-09,117.15
2020-02-10,117.9
2020-02-11,117.11
2020-02-12,118.94
2020-02-13,118.88
2020-02-14,116.76
2020-02-15,119.82
2020-02-16,120.33
2020-02-17,123.05
2020-02-18,120.53
2020-02-19,116.6
2020-02-20,118.18
2020-02-21,116.37
2020-02-22,115.4
2020-02-23,117.39
2020-02-24,118.76
2020-02-25,117.87
2020-02-26,119.17
2020-02-27,125.01
2020-02-28,124.43
2020-02-29,124.32
2020-03-01,124.97
2020-03-02,125.14
2020-03-03,126.72
2020-03-04,124.95
2020-03-05,126.06
2020-03-06,129.39
2020-03-07,129.71
2020-03-08,129.78
2020-03-09,129.94
2020-03-10,130.02
2020-03-11,132.0
2020-03-12,128.3
2020-03-13,126.32
2020-03-14,128.45
2020-03-15,130.91
2020-03-16,132.0
2020-03-17,132.52
2020-03-18,131.93
2020-03-19,131.38
2020-03-20,132.31
2020-03-21,131.22
2020-03-22,132.05
2020-03-23,137.32
2020-03-24,137.92
2020-03-25,140.77
2020-03-26,142.84
2020-03-27,142.41
2020-03-28,142.87
2020-03-29,143.74
2020-03-30,141.52
2020-03-31,143.27
2020-04-01,140.52
2020-04-02,139.76
2020-04-03,138.91
2020-04-04,142.43
2020-04-05,144.33
2020-04-06,145.8
2020-04-07,143.25
2020-04-08,144.02
2020-04-09,140.79
2020-04-10,141.95
2020-04-11,140.77
2020-04-12,141.4
2020-04-13,142.05
2020-04-14,141.57
2020-04-15,141.19
2020-04-16,142.62
2020-04-17,147.78
2020-04-18,146.22
2020-04-19,147.44
2020-04-20,148.64
2020-04-21,148.83
2020-04-22,150.51
2020-04-23,150.03
2020-04-24,149.98
2020-04-25,152.53
2020-04-26,153.64
2020-04-27,154.78
2020-04-28,154.78
2020-04-29,151.72
2020-04-30,152.02
2020-05-01,151.39
2020-05-02,149.85
2020-05-03,150.72
2020-05-04,149.57
2020-05-05,152.54
2020-05-06,152.74
2020-05-07,153.13
2020-05-08,152.45
2020-05-09,149.93
